sensor_Number,X_coord,Y_coord
1,127.531,69.296
2,136.042,69.296
3,144.1886,69.296
4,153.1277,69.296
5,161.567,69.296
6,169.9924,69.296
7,166.2893,78.1269
8,160.3704,78.1269
9,154.439,78.1269
10,148.9074,78.1269
11,143.1525,78.1269
12,137.1624,78.1269
13,131.48,78.1269
14,127.531,64.6302
15,136.042,64.6302
16,148.9775,83.2421
17,127.531,55.6552
18,136.042,55.6552
19,144.1886,55.6552
20,153.1277,55.6552
21,161.567,55.6552
22,169.9924,55.6552
23,169.9924,64.6302
24,161.567,64.6302
25,153.1277,64.6302
26,144.1886,64.6302
27,169.9924,60.1797
28,161.567,60.1797
29,153.1277,60.1797
30,144.1886,60.1797
31,136.042,60.1797
32,127.531,60.1797
